City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Grindavik,IS,63.8424,-22.4338,32.47,80,40,11.5,scattered clouds
321,Bilma,NE,18.6853,12.9164,55.15,29,18,8.01,few clouds
322,Biloela,AU,-24.4167,150.5,88.92,32,81,11.27,broken clouds
323,Sungairaya,ID,0.7,108.9,85.21,68,12,12.97,few clouds
324,Fallon,US,39.4735,-118.7774,26.47,59,0,3.44,clear sky
325,Aksu,CN,41.1231,80.2644,39.69,39,30,3.91,scattered clouds
326,Shenjiamen,CN,29.9576,122.298,46.02,65,1,8.52,clear sky
327,Nabire,ID,-3.3667,135.4833,80.11,86,100,0.43,overcast clouds
328,Rio Bueno,CL,-40.3167,-72.9667,48.34,88,100,4.74,overcast clouds
329,Bubaque,GW,11.2833,-15.8333,74.52,73,87,8.08,overcast clouds
330,San Jose De Guanipa,VE,8.8872,-64.1651,72.5,82,63,10.76,broken clouds
331,Flic En Flac,MU,-20.2742,57.3631,84.52,65,46,2.86,scattered clouds
332,Kamenka,RU,51.3223,42.7678,12.54,96,88,8.25,overcast clouds
333,Jiuquan,CN,39.7432,98.5174,40.05,27,100,9.55,overcast clouds
334,Aasiaat,GL,68.7098,-52.8699,3.22,79,100,12.15,overcast clouds
335,Mumbwa,ZM,-14.9783,27.0619,66.61,92,100,10.6,overcast clouds
336,Constitucion,CL,-35.3333,-72.4167,58.14,79,0,11.41,clear sky
337,Nishihara,JP,26.1842,127.7558,69.85,56,75,13.8,broken clouds
338,Corumba,BR,-19.0092,-57.6533,74.32,85,21,2.77,few clouds
339,Doha,QA,25.2867,51.5333,69.78,68,20,21.85,few clouds
340,Khatanga,RU,71.9667,102.5,5.0,95,99,10.87,overcast clouds
341,Norsup,VU,-16.0667,167.3833,79.65,89,100,13.65,light rain
342,Klyuchi,RU,52.2667,79.1667,17.02,90,99,4.88,overcast clouds
343,Ibra,OM,22.6906,58.5334,86.05,8,5,4.74,clear sky
344,Novyy Urengoy,RU,66.0833,76.6333,13.42,85,100,24.27,light snow
345,Carman,CA,49.4992,-98.0016,3.29,72,63,2.3,broken clouds
346,Astakos,GR,38.5356,21.0814,47.59,63,0,2.68,clear sky
347,Salalah,OM,17.0151,54.0924,77.09,69,0,4.61,clear sky
348,Kazanskoye,RU,55.6448,69.235,5.76,90,12,5.61,few clouds
